Time,Prey,Predator
29.2,3.37046,0.921222
29.3,3.62665,0.916595
29.4,3.90281,0.914426
29.5,4.20006,0.914898
29.6,4.51958,0.918203
29.7,4.86256,0.924559
29.8,5.22983,0.934276
29.9,5.62212,0.947701
30,6.04023,0.965199
30.1,6.48483,0.987175
30.2,6.95531,1.01427
30.3,7.45066,1.04722
30.4,7.9696,1.08679
30.5,8.50974,1.13387
30.6,9.06822,1.18945
30.7,9.63997,1.25482
30.8,10.2187,1.33145
30.9,10.7963,1.42098
31,11.3624,1.52523
31.1,11.9048,1.64621
31.2,12.4082,1.78608
31.3,12.8554,1.94716
31.4,13.2272,2.13149
31.5,13.5029,2.34095
31.6,13.6614,2.57688
31.7,13.6856,2.83896
31.8,13.5607,3.126
31.9,13.2768,3.43524
32,12.8346,3.76134
32.1,12.2437,4.09712
32.2,11.5238,4.43359
32.3,10.7026,4.76078
32.4,9.81368,5.06857
32.5,8.89322,5.34748
32.6,7.97465,5.59008
32.7,7.08737,5.79106
32.8,6.25398,5.94773
32.9,5.48912,6.05988
33,4.80082,6.1293
33.1,4.19095,6.15931
33.2,3.65723,6.15409
33.3,3.19435,6.11833
33.4,2.79567,6.05666
33.5,2.45389,5.9735
33.6,2.16167,5.87295
33.7,1.9125,5.75851
33.8,1.70006,5.63335
33.9,1.51887,5.50016
34,1.36453,5.3611
34.1,1.23275,5.21812
34.2,1.11995,5.07281
34.3,1.02363,4.92635
34.4,0.941074,4.77985
34.5,0.870035,4.63421
34.6,0.809254,4.49
34.7,0.75714,4.3478
34.8,0.712277,4.20809
34.9,0.673783,4.07118
35,0.64085,3.93731
35.1,0.612768,3.80669
35.2,0.588935,3.67945
35.3,0.568878,3.55568
35.4,0.552178,3.43545
35.5,0.538504,3.31879
35.6,0.527583,3.2057
35.7,0.519177,3.09616
35.8,0.513114,2.99016
35.9,0.509242,2.88763
36,0.507438,2.78855
36.1,0.50762,2.69284
36.2,0.509716,2.60045
36.3,0.513685,2.5113
36.4,0.519506,2.42533
36.5,0.52717,2.34246
36.6,0.536694,2.26261
36.7,0.548105,2.18571
36.8,0.561451,2.11169
36.9,0.576797,2.04047
37,0.59422,1.97197
37.1,0.613817,1.90613
37.2,0.635699,1.84286
37.3,0.659997,1.78211
37.4,0.686861,1.7238
37.5,0.716454,1.66787
37.6,0.74896,1.61425
37.7,0.784584,1.56289
37.8,0.823562,1.51373
37.9,0.866144,1.46671
38,0.912599,1.42179
38.1,0.963226,1.37891
38.2,1.01838,1.33803
38.3,1.07841,1.29911
38.4,1.14372,1.26211
38.5,1.21472,1.227
38.6,1.2919,1.19375
38.7,1.37577,1.16234
38.8,1.46686,1.13275
38.9,1.56575,1.10496
39,1.67311,1.07897
39.1,1.78964,1.05476
39.2,1.91607,1.03236
39.3,2.05318,1.01176
39.4,2.20183,0.992992
